country,year,life_ladder,GDP,social_support,healthy,freedom,generosity,perceptions
Poland,2019,6.24209404,33185.14947951354,0.878268242,68.69999695,0.882885754,-0.23313646,0.696057379
Portugal,2019,6.095473289,34945.66689984567,0.876082599,71,0.8823511,-0.236410558,0.915165603
Romania,2019,6.129942417,29875.081283000447,0.841905951,66.80000305,0.84754318,-0.223447934,0.954130709
Russia,2019,5.440523624,27210.548238662865,0.910098851,64.19999695,0.714766085,-0.118029267,0.847705066
Rwanda,2019,3.268152237,2227.5173760268635,0.489458233,60.20000076,0.868999183,0.064353086,0.167970896
Senegal,2019,5.488736629,3361.462724838762,0.687614083,59.40000153,0.758841753,-0.018155394,0.79567343
Serbia,2019,6.241407394,18306.771230731367,0.903294265,66.90000153,0.752504587,-0.042076003,0.813141823
Sierra Leone,2019,3.447381496,1705.191117822106,0.610779762,52.90000153,0.717769563,0.075184681,0.873861432
Singapore,2019,6.378359795,98411.59485590996,0.924918354,73.59999847,0.938041747,0.023224151,0.069619603
Slovakia,2019,6.243428707,31927.60611535988,0.933088303,68.5,0.771121562,-0.12927666300000001,0.925846696
Slovenia,2019,6.665273666,38946.69323478436,0.949402273,70.69999695,0.945430517,-0.104521476,0.785441816
South Africa,2019,5.034863472,13709.961343936802,0.847719729,56.20000076,0.73833853,-0.14204447,0.819823623
South Korea,2019,5.902816772,42804.64954934083,0.783160865,73.09999847,0.706032395,-0.057978813,0.71769613
Spain,2019,6.457449436,40803.64113846055,0.949013472,72.09999847,0.777966738,-0.050898876,0.73033762
Sri Lanka,2019,4.213299274,13070.127529601412,0.814939141,67,0.824277341,0.0498989,0.863342285
Sweden,2019,7.398092747,52850.58762664721,0.93364507,71.90000153,0.941515207,0.088857219,0.250087917
Switzerland,2019,7.69422102,70944.34887393446,0.948512852,72.5,0.913166702,0.030927902,0.293700755
Tanzania,2019,3.640154839,2660.420651673883,0.687267542,58.5,0.850132525,0.100552306,0.589293599
Thailand,2019,6.02215147,18453.46771794476,0.903051019,68.30000305,0.898244619,0.307212681,0.87703979
Togo,2019,4.179493904,2121.89976296245,0.53870219,56.20000076,0.617419779,0.044817887,0.736675024
Tunisia,2019,4.315479755,11417.125671306014,0.609589279,66.90000153,0.659331739,-0.214329869,0.88890475
Turkey,2019,4.87207365,28197.24931084383,0.791656196,68.40000153,0.631083786,-0.137710899,0.760442197
Uganda,2019,4.948051453,2182.899521987918,0.805487394,58.20000076,0.704376638,0.139115021,0.825612605
Ukraine,2019,4.701762199,12808.79918423516,0.88272649,64.30000305,0.715311766,-0.082320653,0.885004938
United Kingdom,2019,7.157151222,47368.59095683066,0.942681074,70.09999847,0.85403955,0.267002612,0.485092282
United States,2019,6.943701267,62630.86144904063,0.916691124,66.09999847,0.836139023,0.141378984,0.706715524
Uruguay,2019,6.600337029,23032.74112889422,0.933470964,67.5,0.902678788,-0.101878576,0.599399626
Uzbekistan,2019,6.154049397,7348.147796696664,0.915275931,64.69999695,0.970294535,0.300029099,0.511196852
Venezuela,2019,5.080803394,251.31908455983492,0.88767153,64.40000153,0.62552619,0.130596474,0.839340389
Vietnam,2019,5.467451096,8041.175444085287,0.847592115,65.30000305,0.95246917,-0.126406267,0.787889242
Yemen,2019,4.196912766,1716.3801274343907,0.870042801,57.5,0.651308239,-0.10086716,0.798228264
Zambia,2019,3.306796551,3470.436692481188,0.637894392,54.40000153,0.811039805,0.077560678,0.831956029
Zimbabwe,2019,2.693523169,3630.035268311533,0.759162307,53.09999847,0.631907582,-0.08153984,0.830651879
